word,similar
Abbess,sister
Abbey,nunnery
Abbot,monk
Abdicate,forgo
Abdicate,relinquish
Abdicate,renounce
Abdicate,step down
Abdicate,vacate
Abdomen,belly
Abdomen,gut
Abdomen,midriff
Abdomen,midsection
Abdomen,tummy
Abdominal,intestinal
Abdominal,visceral
Abduction,kidnapping
Abduction,rape
Abduction,seizure
Abduction,theft
Aberration,oddity
Aberration,peculiarity
Aberration,quirk
Abet,condone
Abet,incite
Abet,instigate
Abet,provoke
Abhorrent,despicable
Abhorrent,loathsome
Abhorrent,repulsive
Abject,wretched
Able-bodied,strapping
