word,meaning
articulate,Having or showing the ability to speak fluently and coherently.
eloquent,Fluent or persuasive in speaking or writing.
expressive,Effectively conveying thought or feeling.
lucid,Expressed clearly; easy to understand.
oratory,"A small chapel, especially for private worship."
pompous,"Affectedly grand, solemn, or self-important."
raconteur,A person who tells anecdotes in a skilful and amusing way.
rhetoric,"The art of effective or persuasive speaking or writing, especially the exploitation of figures of speech and other compositional techniques."
silver-tongued,ABSENT
stentorian,(of a person's voice) loud and powerful.
turgid,Swollen and distended or congested.
verbose,Using or expressed in more words than are needed.
bloated,Swollen with fluid or gas.
bombastic,High-sounding but with little meaning; inflated.
declamatory,Vehement or impassioned in expression.
effusive,"Showing or expressing gratitude, pleasure, or approval in an unrestrained or heartfelt manner."
florid,Having a red or flushed complexion.
fustian,"Thick, hard-wearing twilled cloth with a short nap, usually dyed in dark colours."
garrulous,"Excessively talkative, especially on trivial matters."
grandiloquent,"Pompous or extravagant in language, style, or manner, especially in a way that is intended to impress."
grandiose,"Impressive and imposing in appearance or style, especially pretentiously so."
loquacious,Tending to talk a great deal; talkative.
magniloquent,Using high-flown or bombastic language.
orotund,(of a person's voice) resonant and imposing.
pretentious,Attempting to impress by affecting greater importance or merit than is actually possessed.
rhetorical,Relating to or concerned with the art of rhetoric.
circumlocution,"The use of many words where fewer would do, especially in a deliberate attempt to be vague or evasive."
long-winded,(of speech or writing) continuing at tedious length.
prolix,(of speech or writing) using or containing too many words; tediously lengthy.
superfluous,"Unnecessary, especially through being more than enough."
concise,Giving a lot of information clearly and in a few words; brief but comprehensive.
curt,Rudely brief.
laconic,"(of a person, speech, or style of writing) using very few words."
pithy,(of a fruit or plant) containing much pith.
reticent,Not revealing one's thoughts or feelings readily.
succinct,(especially of something written or spoken) briefly and clearly expressed.
taciturn,(of a person) reserved or uncommunicative in speech; saying little.
terse,Sparing in the use of words; abrupt.
implicit,Suggested though not directly expressed.
implied,Suggested but not directly expressed; implicit.
tacit,Understood or implied without being stated.
unuttered,(of words or thoughts) not spoken or expressed.
acerbic,(especially of a comment or style of speaking) sharp and forthright.
caustic,Able to burn or corrode organic tissue by chemical action.
incisive,(of a person or mental process) intelligently analytical and clear-thinking.
trenchant,Vigorous or incisive in expression or style.
diatribe,A forceful and bitter verbal attack against someone or something.
fulmination,An expression of vehement protest.
harangue,A lengthy and aggressive speech.
invective,"Insulting, abusive, or highly critical language."
jeremiad,"A long, mournful complaint or lamentation; a list of woes."
malediction,A magical word or phrase uttered with the intention of bringing about evil; a curse.
obloquy,Strong public condemnation.
tirade,"A long, angry speech of criticism or accusation."
alternative,(of one or more things) available as another possibility or choice.
circumlocution,"The use of many words where fewer would do, especially in a deliberate attempt to be vague or evasive."
euphemism,A mild or indirect word or expression substituted for one considered to be too harsh or blunt when referring to something unpleasant or embarrassing.
understatement,The presentation of something as being smaller or less good or important than it really is.
commendable,Deserving praise.
creditable,"(of a performance, effort, or action) deserving public acknowledgement and praise but not necessarily outstanding or successful."
estimable,Worthy of great respect.
laudable,"(of an action, idea, or aim) deserving praise and commendation."
meritorious,Deserving reward or praise.
venerable,"Accorded a great deal of respect, especially because of age, wisdom, or character."
acclaim,Praise enthusiastically and publicly.
adulatory,Excessively praising or admiring.
applaud,Show approval or praise by clapping.
approbate,Approve formally; sanction.
commend,Praise formally or officially.
compliment,A polite expression of praise or admiration.
encomium,A speech or piece of writing that praises someone or something highly.
eulogize,Praise highly in speech or writing.
exalt,Think or speak very highly of (someone or something)
extol,Praise enthusiastically.
hail,Pellets of frozen rain which fall in showers from cumulonimbus clouds.
kudos,Praise and honour received for an achievement.
laud,Praise (a person or their achievements) highly.
paean,A song of praise or triumph.
panegyric,A public speech or published text in praise of someone or something.
plaudit,An expression of praise or approval.
tribute,"An act, statement, or gift that is intended to show gratitude, respect, or admiration."
venerate,Regard with great respect; revere.
courtesy,The showing of politeness in one's attitude and behaviour towards others.
deference,Polite submission and respect.
homage,Special honour or respect shown publicly.
idolize,"Admire, revere, or love greatly or excessively."
obeisance,Deferential respect.
reverence,Deep respect for someone or something.
veneration,Great respect; reverence.
deride,Express contempt for; ridicule.
gibe,ABSENT
jeer,"Make rude and mocking remarks, typically in a loud voice."
scoff,Speak to someone or about something in a scornfully derisive or mocking way.
sneer,"A contemptuous or mocking smile, remark, or tone."
taunt,"A remark made in order to anger, wound, or provoke someone."
censure,"Express severe disapproval of (someone or something), especially in a formal statement."
defame,Damage the good reputation of (someone); slander or libel.
demean,Cause a severe loss in the dignity of and respect for (someone or something)
denigrate,Criticize unfairly; disparage.
denounce,Publicly declare to be wrong or evil.
denunciate,Publicly declare to be wrong or evil; denounce.
deprecate,Express disapproval of.
impugn,"Dispute the truth, validity, or honesty of (a statement or motive); call into question."
perjure,Wilfully tell an untruth or make a misrepresentation under oath; commit perjury.
vilification,Abusively disparaging speech or writing.
disrepute,The state of being held in low esteem by the public.
ignominy,Public shame or disgrace.
infamy,The state of being well known for some bad quality or deed.
opprobrium,Harsh criticism or censure.
admonish,Reprimand firmly.
castigate,Reprimand (someone) severely.
chastise,Rebuke or reprimand severely.
chide,Scold or rebuke.
punish,"Inflict a penalty or sanction on (someone) as retribution for an offence, especially a transgression of a legal or moral code."
rebuke,Express sharp disapproval or criticism of (someone) because of their behaviour or actions.
reprimand,A formal expression of disapproval.
reproach,Express to (someone) one's disapproval of or disappointment in their actions.
reprove,Reprimand (someone)
scold,Remonstrate with or rebuke (someone) angrily.
tax,"A compulsory contribution to state revenue, levied by the government on workers' income and business profits, or added to the cost of some goods, services, and transactions."
upbraid,Find fault with (someone); scold.
aggravate,"Make (a problem, injury, or offence) worse or more serious."
chafe,(with reference to a part of the body) make or become sore by rubbing against something.
exacerbate,"Make (a problem, bad situation, or negative feeling) worse."
irk,Irritate; annoy.
irritate,Make (someone) annoyed or a little angry.
nettle,A herbaceous plant which has jagged leaves covered with stinging hairs.
peeve,Make (someone) rather annoyed; irritate.
provoke,"Stimulate or give rise to (a reaction or emotion, typically a strong or unwelcome one) in someone."
vex,"Make (someone) feel annoyed, frustrated, or worried, especially with trivial matters."
antagonize,Cause (someone) to become hostile.
clash,A violent confrontation.
incite,Encourage or stir up (violent or unlawful behaviour)
pester,Trouble or annoy (someone) with frequent or persistent requests or interruptions.
cantankerous,"Bad-tempered, argumentative, and uncooperative."
instable,ABSENT
irascible,Having or showing a tendency to be easily angered.
irritable,Having or showing a tendency to be easily annoyed.
ornery,Bad-tempered or difficult to deal with.
precarious,Not securely held or in position; dangerously likely to fall or collapse.
testy,Easily irritated; impatient and somewhat bad-tempered.
volatile,(of a substance) easily evaporated at normal temperatures.
headlong,With the head foremost.
impetuous,Acting or done quickly and without thought or care.
precipitous,Dangerously high or steep.
circumspect,Wary and unwilling to take risks.
heedful,Aware of and attentive to.
restrained,Characterized by reserve or moderation; unemotional or dispassionate.
vigilant,Keeping careful watch for possible danger or difficulties.
arbitrary,"Based on random choice or personal whim, rather than any reason or system."
capricious,Given to sudden and unaccountable changes of mood or behaviour.
chance,A possibility of something happening.
erratic,Not even or regular in pattern or movement; unpredictable.
fickle,"Changing frequently, especially as regards one's loyalties or affections."
flippant,Not showing a serious or respectful attitude.
frivolous,Not having any serious purpose or value.
irresolute,Showing or feeling hesitancy; uncertain.
mercurial,Subject to sudden or unpredictable changes of mood or mind.
temperamental,(of a person) liable to unreasonable changes of mood.
whimsical,"Playfully quaint or fanciful, especially in an appealing and amusing way."
willful,(of a bad or harmful act) intentional; deliberate.
dally,Act or move slowly.
dither,Be indecisive.
falter,Lose strength or momentum.
fluctuate,Rise and fall irregularly in number or amount.
oscillate,Move or swing back and forth in a regular rhythm.
vacillate,Waver between different opinions or actions; be indecisive.
debased,Reduced in quality or value.
ignoble,Not honourable in character or purpose.
inconsequential,Not important or significant.
inglorious,(of an action or situation) causing shame or a loss of honour.
insignificant,Too small or unimportant to be worth consideration.
measly,Ridiculously small or few.
niggling,"Causing slight but persistent annoyance, discomfort, or anxiety."
nonentity,A person or thing with no special or interesting qualities; an unimportant person or thing.
paltry,(of an amount) very small or meagre.
picayune,Of little value or significance; petty.
piddling,Pathetically trivial; trifling.
trifling,Unimportant or trivial.
aplomb,"Self-confidence or assurance, especially when in a demanding situation."
composure,The state or feeling of being calm and in control of oneself.
delicatesse,ABSENT
equability,ABSENT
equanimity,"Calmness and composure, especially in a difficult situation."
imperturbability,ABSENT
level-headedness,ABSENT
nonchalance,The state of being nonchalant.
placidity,ABSENT
poise,Graceful and elegant bearing in a person.
sangfroid,Composure or coolness shown in danger or under trying circumstances.
apathy,"Lack of interest, enthusiasm, or concern."
impassivity,ABSENT
lassitude,A state of physical or mental weariness; lack of energy.
phlegm,"The thick viscous substance secreted by the mucous membranes of the respiratory passages, especially when produced in excessive quantities during a cold."
unresponsiveness,ABSENT
disinterest,The state of not being influenced by personal involvement in something; impartiality.
lethargy,A lack of energy and enthusiasm.
indifference,"Lack of interest, concern, or sympathy."
stolidity,ABSENT
erudite,Having or showing great knowledge or learning.
literary,"Concerning the writing, study, or content of literature, especially of the kind valued for quality of form."
scholarly,Involving or relating to serious academic study.
abstruse,Difficult to understand; obscure.
arcane,Understood by few; mysterious or secret.
esoteric,Intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.
highbrow,Intellectual or rarefied in taste.
obscure,Not discovered or known about; uncertain.
