word,similarword,meaning
Chicanery,dodge,The use of deception or subterfuge to achieve one's purpose.
Equivocate,dodge,Use ambiguous language so as to conceal the truth or avoid committing oneself.
Malinger,dodge,Pretend to be ill in order to escape duty or work.
Prevaricate,dodge,Speak or act in an evasive way.
shunned,dodge,"Persistently avoided, ignored, or rejected."
wince,dodge,Make a slight involuntary grimace or shrinking movement of the body out of pain or distress.
shun,dodge,"Persistently avoid, ignore, or reject (someone or something) through antipathy or caution."
thwart,dodge,Prevent (someone) from accomplishing something.
collusion,dodge,Secret or illegal cooperation or conspiracy in order to deceive others.
wile,dodge,Devious or cunning stratagems employed in manipulating or persuading someone to do what one wants.
machination,dodge,A plot or scheme.
feint,dodge,"A deceptive or pretended blow, thrust, or other movement, especially in boxing or fencing."
balk,dodge,Hesitate or be unwilling to accept an idea or undertaking.
quibble,dodge,A slight objection or criticism about a trivial matter.
lam,dodge,Hit hard; strike.
Chicane,dodge,A sharp double bend created to form an obstacle on a motor-racing track or a road.
Cringe,dodge,Bend one's head and body in fear or apprehension or in a servile manner.
Ruse,dodge,An action intended to deceive someone; a trick.
Machinations,dodge,A plot or scheme.
Parry,dodge,Ward off (a weapon or attack) with a countermove.
Circumvent,dodge,Find a way around (an obstacle)
Artifice,dodge,"Clever or cunning devices or expedients, especially as used to trick or deceive others."
Perfidy,dodge,The state of being deceitful and untrustworthy.
Stratagem,dodge,"A plan or scheme, especially one used to outwit an opponent or achieve an end."
Shirk,dodge,Avoid or neglect (a duty or responsibility)
Adulterate,cut,Render (something) poorer in quality by adding another substance.
Rarefy,cut,Make or become less dense or solid.
repel,cut,Drive or force (an attack or attacker) back or away.
condense,cut,Make (something) denser or more concentrated.
tamper,cut,Interfere with (something) in order to cause damage or make unauthorized alterations.
engrave,cut,Cut or carve (a text or design) on the surface of a hard object.
curtail,cut,Reduce in extent or quantity; impose a restriction on.
veer,cut,Change direction suddenly.
taunt,cut,"A remark made in order to anger, wound, or provoke someone."
sever,cut,"Divide by cutting or slicing, especially suddenly and forcibly."
emaciate,cut,The state of being abnormally thin or weak.
snub,cut,"Rebuff, ignore, or spurn disdainfully."
exscind,cut,to cut out or off.
gouge,cut,"A chisel with a concave blade, used in carpentry, sculpture, and surgery."
rebuff,cut,Reject (someone or something) in an abrupt or ungracious manner.
spurn,cut,Reject with disdain or contempt.
mince,cut,"Cut up (food, especially meat) into very small pieces, typically in a machine."
Obliterate,cut,Destroy utterly; wipe out.
Lance,cut,"A long weapon with a wooden shaft and a pointed steel head, formerly used by a horseman in charging."
Truncate,cut,Shorten (something) by cutting off the top or the end.
Gambol,cut,Run or jump about playfully.
Contusion,cut,A region of injured tissue or skin in which blood capillaries have been ruptured; a bruise.
Undercutting,cut,Offer goods or services at a lower price than (a competitor)
Tirade,censure,"A long, angry speech of criticism or accusation."
Lambaste,censure,Criticize (someone or something) harshly.
berate,censure,Scold or criticize (someone) angrily.
vilify,censure,Speak or write about in an abusively disparaging manner.
decry,censure,Publicly denounce.
discredit,censure,Harm the good reputation of.
remonstrate,censure,Make a forcefully reproachful protest.
upbraid,censure,Find fault with (someone); scold.
impute,censure,"Represent (something, especially something undesirable) as being done or possessed by someone; attribute."
odium,censure,General or widespread hatred or disgust incurred by someone as a result of their actions.
inveigh,censure,Speak or write about (something) with great hostility.
flak,censure,Anti-aircraft fire.
obloquy,censure,Strong public condemnation.
vituperate,censure,Blame or insult (someone) in strong or violent language.
invective,censure,"Insulting, abusive, or highly critical language."
proscribe,censure,"Forbid, especially by law."
Deplore,censure,Feel or express strong disapproval of (something)
Disapprobation,censure,"Strong disapproval, typically on moral grounds."
Fulminate,censure,Express vehement protest.
Abate,cool,(of something unpleasant or severe) become less intense or widespread.
Assuage,cool,Make (an unpleasant feeling) less intense.
Mitigate,cool,"Make (something bad) less severe, serious, or painful."
Mollify,cool,Appease the anger or anxiety of (someone)
equilibrium,cool,A state in which opposing forces or influences are balanced.
sophisticated,cool,"Having, revealing, or involving a great deal of worldly experience and knowledge of fashion and culture."
indefatigability,cool,incapable of being tired out; not yielding to fatigue; untiring.
deter,cool,Discourage (someone) from doing something by instilling doubt or fear of the consequences.
fagged,cool,Extremely tired; exhausted.
equanimity,cool,"Calmness and composure, especially in a difficult situation."
slake,cool,Quench or satisfy (one's thirst)
