word,origin
articulate,Good/Clear with words
 eloquent,
 expressive,
 lucid,
 oratory,
 pompous,
 raconteur,
 rhetoric,
 silver-tongued,
 stentorian,
 turgid,
 verbose,
bloated,Showy wordiness
 bombastic,
 declamatory,
 effusive,
 florid,
 fustian,
 garrulous,
 grandiloquent,
 grandiose,
 loquacious,
 magniloquent,
 orotund,
 pretentious,
 rhetorical,
circumlocution,Excessively wordy
 long-winded,
 prolix,
 superfluous,
concise,Using few words/Not talkative
 curt,
 laconic,
 pithy,
 reticent,
 succinct,
 taciturn,
 terse,
implicit,Something done without the use of words
 implied,
 tacit,
 unuttered,
acerbic,Biting wit
 caustic,
 incisive,
 trenchant,
diatribe,"Abusive, condescending speech"
 fulmination,
 harangue,
 invective,
 jeremiad,
 malediction,
 obloquy,
 tirade,
alternative,Substituting a mild word for a harsh word
 circumlocution,
 euphemism,
 understatement,
commendable,Admirable
 creditable,
 estimable,
 laudable,
 meritorious,
 venerable,
acclaim,praise
 adulatory,
 applaud,
 approbate,
 commend,
 compliment,
 encomium,
 eulogize,
 exalt,
 extol,
 hail,
 kudos,
 laud,
 paean,
 panegyric,
 plaudit,
 tribute,
 venerate,
courtesy,Respect
 deference,
 homage,
 idolize,
 obeisance,
 reverence,
 veneration,
deride,To mock/ridicule
 gibe,
 jeer,
 scoff,
 sneer,
 taunt,
censure,To criticize
 defame,
 demean,
 denigrate,
 denounce,
 denunciate,
 deprecate,
 impugn,
 perjure,
 vilification,
disrepute,To dishonor/shame
 ignominy,
 infamy,
 opprobrium,
admonish,To punish
 castigate,
 chastise,
 chide,
 punish,
 rebuke,
 reprimand,
 reproach,
 reprove,
 scold,
 tax,
 upbraid,
aggravate,To annoy
 chafe,
 exacerbate,
 irk,
 irritate,
 nettle,
 peeve,
 provoke,
 vex,
antagonize,To provoke to the point of anger
 clash,
 incite,
 pester,
cantankerous,Easily angered
 instable,
 irascible,
 irritable,
 ornery,
 precarious,
 testy,
 volatile,
headlong,Reckless/Impulsive
 impetuous,
 precipitous,
circumspect,Cautious
 heedful,
 restrained,
 vigilant,
arbitrary,Unpredictable/changing one’s mind often
 capricious,
 chance,
 erratic,
 fickle,
 flippant,
 frivolous,
 irresolute,
 mercurial,
 temperamental,
 whimsical,
 willful,
dally,To waver back and forth
 dither,
 falter,
 fluctuate,
 oscillate,
 vacillate,
debased,Unimportant
 ignoble,
 inconsequential,
 inglorious,
 insignificant,
 measly,
 niggling,
 nonentity,
 paltry,
 picayune,
 piddling,
 trifling,
aplomb,With nary a care/self-confident
 composure,
 delicatesse,
 equability,
 equanimity,
 imperturbability,
 level-headedness,
 nonchalance,
