word,meaning
Abscond,To leave secretly
Aggrandize,"To increase in power, influence, and reputation"
Amalgamate,"To combine, mix together"
Anachronism,Something out of place in time
Chauvinist,Someone prejudiced in favor of a group to which he or she belongs
Credulous,"Too trusting, gullible"
Desiccate,To dry out thoroughly
Dilatory,Intended to delay
Dilettante,Someone who has amateurish and superficial interest in a topic
Dissemble,To present a false appearance; To disguise one's real intentions or character
Elegy,A sorrowful poem or speech
Enervate,to reduce in strength
Equivocate,To use expressions of double meaning in order to mislead
Euphemism,Use of an inoffensive word or phrase in place of a more distasteful one
Exculpate,Yo clear from blame; prove innocent
Exigent,"Urgent, requiring immediate action"
Homogeneous,Of a similar kind
Iconoclast,"One who opposes established beliefs, customs, and institutions"
Imperturbable,Not capable of being disturbed
Ingenuous,Showing innocence or childlike simplicity
Misanthrope,a person who dislikes others
Obdurate,"hardened in feeling, resistant to persuasion"
Obsequious,overly submissive and eager to please
Occlude,To stop up; to prevent the passage of
Pedant,Someone who shows off learning
Prevaricate,to lie of deviate from the truth
Prodigal,"lavish, wasteful"
Propitiate,to conciliate; to appease
Quiescent,motionless
Soporific,causing sleep or lethargy
Torpor,extreme mental of physical sluggishness
Verbose,wordy
introvert,one who turns towards himself
stray,wander lose one's way
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
heterogeneous,made up of different kinds
adulteration,making unpure; poorer in quality
somersault,rolling backward or forward (not sideways) movement
conjoin,to join together
opaqueness,dullness/not allowing light to pass through
impermeable,that cannot be permeated
extinct,no longer active
brittle,easily broken
asterisk,the mark * (e.g.. omitted letters)
dullard,"a stupid, insensitive person"
dwarf,person much smaller the usual size
sawdust,tiny bits of wood
weigh,measure hoe heavy something is
steeply,rising or falling sharply
torque,twisting force causing rotation
complaisant,trying to please; obliging
encapsulate,enclose in capsule
fission,splitting or division (esp. of cells)
alloy,to debase by mixing with something inferior
disproof,proof to the contrary
tonic,something giving strength or energy
indistinct,not easily heard; seen clearly marked
yeoman,man owning small estate; middle-class farmer
sobriety,quality or condition of being sober
solvent,of the power of forming a solution
vivacious,lively high-spirited
coagulation,change to a thick and solid state
liberality,free giving; generosity
brass,yellow metal (mixing copper and zinc)
retrograde,receding
jabber,talk excitedly; utter rapidly
superimpose,put something on the top
pilferer,"to steal, especially in small quantities"
foster,nurture; care for
multifarious,varied; motley; greatly diversified
substantiation,giving facts to support (statement)
euthanasia,easy and painless death
underbid,make a lower bid then somebody else
miser,person who loves wealth and spends little
hoax,mischievous trick played to deceive
pinch,be too tight take between the thumb and finger
warmonger,person who stirs up war
gush,burst out suddenly/talk ardently
compunction,feeling of regret for one's action
recompense,make payment to reward punish
polemic,a controversial argument / a person engaged in such an argument
reciprocity,granting of privileges in return for similar
holster,leather case for a pistol
aseptic,surgically clean
idolatry,excessive admiration of
valorous,brave
deviance,being different in moral standards (from normal)
concord,agreement or harmony
variegate,To mark with different shade or colors
malevolence,wishing to do evil
calisthenics,exercises to develop strong bodies
regicide,crime of killing a king
muffler,cloth worn round the neck; silencer
enthral,"take the whole attention, enslave"
disencumber,free from encumbrance
avow,admit; declare openly
castigation,severe punishment
squat,crouch/settle without permission
conciliatory,reconciling; soothing; comforting; mollifying
apostate,one who abandons long-held religious or political convictions
flaunting,show off complacently
extrovert,cheerful person
poncho,large piece of cloth
grandiloquent,using pompous words
perch,take up a high position
ignoble,not noble; inferior
palpitate,tremble beat rapidly and irregularly
fluster,make nervous or confused
laudatory,expressing or giving praise
matriculation,be admitted enter a university as a student
susceptibility,sensitiveness
ambrosial,extremely pleasing to taste
ferocity,savage cruelty
expurgate,to remove obscenity purify censor
palpability,can be felt or touched
insensible,unconscious; unresponsive; unaffected
gourmand,a person who is devoted to eating and drinking to excess
convoke,call together summon
Conduce,To bring about
mephitic,Poisonous; noxious
equipoise,equal distribution of weight equilibrium
chastisement,punishment
impiety,lack of reverence or dutifulness
telltale,That gives warning or information
grave,serious requiring; consideration
striated,striped grooved or banded
apotheosis,deification glorification to godliness
inimitable,defying; imitation; unmatchable
ulterior,situated beyond
sash,long strip worn round the waist
quiescence,state of being passive/motionless
doleful,dismal; mourful
commodious,having plenty of space for what is needed
unfeigned,not pretended sincere
insinuate,suggest unpleasantly; make a way for something gently
recast,cast or fashion anew
putrefaction,becoming rotten
forfeit,suffer the loss of something
profuse,abundant/lavish
ruddy,"reddish, healthy-looking"
crease,line made by crushing white line on the ground in cricket
dynamo,a generator something that produces electric current
penitent,feeling or showing regret
retinue,following; attendants
pulchritude,Physical beauty
corporeal,physical of or for the body
streak,long thin move very fast
insularity,narrow-mindedness; isolated
coeval,of the same period; coexisting
luculent,easily understood; lucid; clear
palliate,lessen the severity of
baneful,causing harm or ruin; pernicious; destructive
covetous,eagerly desirous
deprave,make morally bad;corrupt
fledgling,an inexperienced person.
tocsin,"a signal, especially of alarm"
inane,silly; senseless
turbid,muddy having the sediment stirred up
sanctimony,self-righteousness hypocritical with false piety
finagle,to practice deception or fraud; scheme.
credulity,too great a readiness to believe things
parley,negotiation
effluvia,outflow in a stream of particles a noxious odor or vapor
jejune,insubstantial/dull/immature
penurious,poor/stingy
encumbrance,burden things that get on the way of
foil,prevent from carrying out
extempore,without previous thought or preparation
grouse,Complain or grumble (verb)
temerity,boldness brashness intrepidness
extenuate,reduce the strength of lessen seriousness partially excuse
bandy,discuss lightly or glibly; exchange (words) heatedly
evince,to show clearly to indicate
hollow,not soled with hole
august,majestic; venerable
snare,trap
mellifluous,sweetly flowing
finical,too fussy about food clothing etc.
emote,stir up excite
uncouth,rough awkward
epicurean,devoted to pleasure (sensuous enjoyment)
requite,repay give in return
kibosh,"block, halt, stop"
desiccant,substance used to absorb moisture
trifling,unimportant
heretic,"recreant, protestant,skeptic"
ferment,substance become excited
remonstrate,to protest object
roll,call calling of names
obtrusive,projecting; prominent; undesirably noticeable
wan,"looking ill, not bright"
