word,meaning
Beguile,mislead; lure
Congenital,present from birth
Egalitarianism,belief in equality
Goad,prod; urge
Irreproachable,cannot be criticized; perfect
Nebulous,vague
Pertinent,relevant
Rebuttal,denial
Subtle,not obvious
Wary,hesitant; cautious
Belabor,explain in unnecessary detail
Connoisseur,person with refined taste and good judgment
Egregious,"outstandingly, obviously bad"
Grate (v),1. to annoy; aggravate; vex; 2. shred
Irrevocable,cannot be cancelled; unchangeable
Nefarious,wicked; immoral; disreputable
Peruse,read carefully
Recant,disclaim; retract statement
Subversive,rebellious; revolutionary
Wax,to increase; to grow
Beleaguer,besiege; attack
Consecrate,dedicate
Egress,exit
Gratis,free of charge; without payment
Itinerant,nomadic; wandering from place to place
Negate,cancel; deny
Pervasive,spreading everywhere
Recapitulate,summarize
Succinct,concise
Waylay,accost; stop; approach; hinder
Belie,contradict
Consensus,general agreement
Gratuitous,unwarranted
Jaded,tired; bored; worn out
Negligence,carelessness
Petrify,1. terrify; 2. turn to stone
Receptacle,container; vessel; holder
Suffragist,someone who campaigns for voting rights
Weighty,serious
Belittle,to demean
Conspicuous,easily seen; prominent
Elucidate,make clear
Gravity,seriousness
Jargon,specialized language used by experts
Neologism,newly coined word
Petulant,sulky; peevish
Recluse,someone who cuts himself off from life
Supercilious,proud and haughty
Whelp,young dog
Bellicose,war-like; aggressive
Consummate,complete; total; supremely good
Elusive,hard to pin down
Jaundiced,cynical; pessimistic
Nettle,annoy
Phenomenon,an event or happening (plural: phenomena)
Recuperate,get better after illness
Superlative,extremely good; the best
Whet,sharpen
Belligerent,aggressive; ready to fight
Contemporary,living or happening at the same time
Emaciated,very thin; withered
Gritty,coarse; granular
Jaunt,short pleasure trip
Niggardly,miserly; stingy
Red tape,formalities; paperwork; official procedure
Surly,grumpy; rude
Bemoan,complain about
Contrite,sorry
Emancipate,set free
Guffaw,sudden loud laughter
Jeopardize,put at risk; endanger
Nomadic,wandering from place to place
Philistine,uncultured person
Redolent,smelling of; giving off odors
Surreptitious,secret; sneaky; stealthy
Willful,stubborn
Benevolent,kindly
Contrition,sorrow and repentance
Embezzle,defraud; steal
Jingoistic,extremely patriotic; nationalistic
Nonchalance,an appearance of indifference; calm and composed
Phlegmatic,calm; imperturbable
Redress,put right something that was wrong
Surreptitiously,secretly; furtively; stealthily
Wily,cunning
Benign,kindly; harmless
Contumacious,stubborn
Embroil,involve in hostility or argument
Guileless,frank; straightforward; honest
Jocular,in a joking manner
Nondescript,having no special features; dull and ordinary
Pillage,plunder
Redundant,unnecessary; superfluous
Susceptible,vulnerable
Wispy,flimsy; frail; delicate
Benignity,compassion; gentleness; fondness
Contusion,a bruise
Emerge,come out; appear
Gullibility,unwariness; trustfulness; being easily fooled
Jollity,gaiety; happiness
Nonentity,a person of no importance; not famous
Pinnacle,topmost point
Referendum,public vote
Suspect,doubtful
Wistful,melancholy; pensive; expressing a longing for
Bequeath,leave something in one's will to be given after one's death
Conundrum,a puzzle
Jubilant,ecstatic; delighted; rejoicing
Nostalgia,longing for the past
Pious,very religious
Refute,disprove
Sybarite,lover of luxury
Zany,crazy; wacky
Berate,scold; criticize
Conventional,usual; customary; common
Endorse,give support or approval to
Gustatory,concerned with the sense of taste
Judicious,correct in judgment; wise
Notoriety,infamy; known for wrong doing
Pivotal,of central importance
Regale,entertain
Sycophant,bootlicker; flatterer
Beret,type of cap
Corpulent,fat
Endurance,staying power; patience; stamina
Hackneyed,common and over-used
Jurisprudence,science or study of law
Novel,new; unusual
Relegate,dismiss to a lower position
Zealot,fanatic
Bestial,behaving like a beast; brutal
Corrugated,highly folded
Enduring,lasting
Hallowed,worshipped; consecrated
Juxtapose,place next to
Novice,a beginner; tyro
Placebo,harmless medicine with no effect; dummy medicine
Remorse,regret; sorrow; contrition
Tactile,concerned with the sense of touch
Zenith,summit
Abjure,renounce; swear to refrain from something
Blandishment,words used to coax or flatter [blandish (v)]
Boor,ill-mannered person [boorish (a)]
Cardinal,"1. high ranking church official; 2. major, important"
Equivocation,"speaking ambiguously [equivocate (v), equivocal (a)]"
Feckless,feeble; helpless; lacking in initiative
Imperturbability,quality of being calm and not easily disturbed [imperturbable (a)]
Meretricious,falsely attractive; tawdry
Augury,"prediction, looking for omens [augur (v)]"
Boycott,refuse to have dealings with
Glib,slick; superficial esp. in speech
Incise,cut into [incision (n); incisive (a)]
Moralistic,concerned with morals [moralize (v)]
Ostracism,shunning; social isolation [ostracize (v)]
Penchant,inclination; leaning; tendency; predilection
Repine,fret; be discontented
Stipulate,specify [stipulation (n)]
Diaphanous,transparent; thin and delicate
Feint,pretended attack; a move intended to deceive
Inured,hardened; habituated
Mettlesome,spirited [mettle (n)]
Puissance,power
Recondite,obscure
Stygian,very dark
Touting,advertising; supporting [tout (v)]
Virtuosity,"skill, expertise [virtuoso (n); virtuosi (n.pl)]"
Volubility,excessive talkativeness [voluble (a)]
Caret,punctuation mark signifying omission
Contiguous,adjacent; touching; abutting [contiguity (n)]
Damp,(used of vibration) reduce in extent
Ellipsis,omission of essential words
Extirpation,wiping out; complete destruction [extirpate (v)]
Foppish,behaving or dressing like a dandy; excessively concerned with fashion
Gaffe,blunder; social mistake
Hortatory,encouraging; exhorting
Opprobrious,expressing great scorn [opprobrium (n)]
Recumbent,reclining; lying down
Ambidextrous,able to use both left and right hands equally well
Culpability,guilt [culpable = blameworthy]
Discernment,judgment; perceptiveness
Encomium,praise
Inveigle,coax; cajole; wheedle; entice
Minatory,threatening
Ossified,turned to bone; become rigid [ossification (n)]
Plumb,measure depth of (v); exact (a. slang)
Quintessential,most typical; the perfect example of [quintessence (n)]
Runic,mysterious; magical
Accretion,accumulation of matter; growth produced by adding from the outside
Anachronistic,occurring in the wrong time period [anachronism (n)]
Chronic,long lasting (often used for diseases in which case the opposite is acute)
Churlishness,rudeness; ill-mannered behavior
Demagogue,mob leader (who appeals to base instincts) [demagogy/demagoguery (n)]
Effrontery,daring; audacity (has a negative connotation)
Idyll,story or incident in peaceful or ideal setting [idyllic (a)]
Interregnum,interval between reigns or governments
Nugatory,of minor significance; futile
Sinecure,job which pays salary but requiring little effort
Anodized,electroplated; coated with thin layer of metal
Aphoristic,expressed tersely [aphorism (n) = short statement; maxim]
Canonical,orthodox [canon (n) = set of accepted works]
Commensurate,equal in significance
Dexterity,"skill, esp. with hands [dexterous (a)]"
Extant,still in existence (opposite of extinct)
Impugned,challenged; called into question
Probity,uprightness; honesty
Raconteur,person who relates a story
Solicitous,kindly; expressing care and concern
Baleful,evil
Coerce,force [coercion (n); coercing (a)]
Iniquitous,evil; unjust [iniquity (n)]
Libertine,dissolute person; prodigal
Millinery,hats and hat-making
Natty,neat; dapper; smart
Occluded,obscured; blocked
Sidereal,of or related to stars
Avaricious,greedy for money
Extirpate,wipe out totally
Halcyon,peaceful and happy; calm (esp. of summer weather)
List (v),1. to lean to one side; 2. to write in order
Maudlin,sad; sentimental; inclined to weep
Refulgent,glowing; radiant
Subliminal,below the threshold of consciousness
Testiness,irritability; irascibility [testy (a)]
Vituperate,attack bitterly
Whittle,1. carve with knife; 2. reduce step by step
Colander,bowl with holes used to drain vegetables etc.
Cumbersome,bulky; difficult to carry [encumber = to burden]
Dispatch,1. send (v); 2. speed; celerity (n)
Epistemology,theory of knowledge
Froward,stubborn; wayward; disobedient
Supine,lying flat on one�s back
Throwback,"exhibiting primitive, or ancestral, traits"
Untoward,unexpected
Verisimilar,true to life; giving the appearance of reality
Abysmal,very deep; very bad
Approbation,approval [opp. disapprobation]
Bent (n),inclination; aptitude
Cadge,get by begging
Debacle,disaster
Extemporize,speak without preparation or rehearsal [extemporaneous (a)]
Incumbents,occupiers of a job or position
Noisome,disgusting
Arboreal,living in trees; concerned with trees
Centrifuge,device to separate substances by spinning them at high speed
Cloistered,isolated
Engendering,causing; bringing into being [engender (v)]
Intemperate,excessive; immoderate [intemperance (n)]
Lugubrious,sad; gloomy
Nonplussed,confused
Pedagogy,science of education; teaching
Slake,quench; satisfy
Artless,without effort; without trickery; simple
Comeliness,beauty; prettiness [comely (a)]
Doff,take off (esp. of a hat)
Don,put on (esp. of clothes)
Erudition,learning; scholarly knowledge [erudite (a)]
Plaintive,sad; mournful
Suborn,bribe
Tendentious,dogmatic; biased
Tortuous,indirect; winding
Verbiage,excessive or meaningless wordiness
Atonement,making amends for sin or crime [atone (v)]
Complaisance,flexibility; willingness to please [complaisant (a)]
Daguerreotype,forerunner of the photograph
Gregariousness,sociability; liking for crowds [gregarious (a)]
Nascent,emerging; newly formed
Paean,praise; tribute (esp. in song)
Reproof,scolding; criticism [reprove (v)]
Scurvy,1. disease due to lack of vitamin C; 2. contemptible; rascally
Tutelary,serving as a guardian [tutelage (n)]
Abscission,cutting; process causing leaves to fall off
Contentious,causing argument [contention (n); contend (v)]
Debilitating,weakening [debilitate (v)]
Foible,quirk; minor weakness
Importune,beg; solicit [importunate (a)]
Pertain,be relevant to [pertinent (a)]
Slew,glut; excess
Toady,sycophant; flatterer
Torrid,hot and steamy
Veracious,true [veracity (n)]
Asperity,using harsh or critical tone
Blowhard,boastful person
Disingenuous,crafty
Evanescent,short-lived [evanescence (n)]
Intangible,cannot be touched; abstract [intangibility (n)]
Labile,changing rapidly; unstable
Malapropism,use of similar sounding but incorrect word
Posture (v),to put on an act
Proximate,immediate; nearest
Pugnacious,"aggressive, ready to fight [pugnacity (n)]"
Foreshadowed,indicated a future event [foreshadow (v)]
Gaucherie,awkwardness [gauche (a)]
Heterodox,unorthodox
Inscrutability,quality of being difficult to comprehend [inscrutable (a)]
Limerick,short amusing poem
Mannered,stylized; pretentious
Pluck (n),courage
Sedulous,persevering; eager and thorough
Syllogism,type of logical reasoning
Vicissitude,unexpected change in fortune or circumstances
Acolyte,disciple; follower or attendant
Admonitory,scolding [admonition (n)]
Caprices,whimsies; fancies
Cornucopia,symbol (horn filled with fruit etc.) denoting natural abundance
Deferential,showing respect [deference (n); defer (v)]
Intractability,stubbornness; resistance [intractable (a)]
Luminary,eminent person
Minion,underling; servant
Undergird,support; strengthen
Vitiate,weaken; sap energy
Coterie,clique; small group with common interests
Denigrate,decry; criticize; belittle
Empirical,found by experiment or practice
Gainsay,contradict
Modest,1. bashful; unpretentious; 2. not excessive
Prolixity,wordiness [prolix (a)]
Rebus,puzzle in which pictures give clues
Sere,withered; old
Vulpine,"like a fox [compare with bovine (cow-like); porcine (pig-like), etc.]"
Exacerbated,made worse [exacerbate (v); exacerbation (n)]
Exact (v),to demand; extort
Faddish,whimsical; following a fashion
Hapless,unlucky
Misconstrue,put a wrong interpretation on something
Perennial,long-lasting
Rent,torn (past participle of the verb to rend)
Shard,fragment of pottery
Xenophobe,person afraid of foreigners
Alleviated,made less severe [alleviation (n); alleviate (v)]
Apostrophe,1. punctuation mark; 2. appeal to someone not present (a figure of speech)
Centurion,roman soldier (commander of a company of 100 soldiers)
Emollient,softening (a); something which softens (n)
Fusillade,long burst of gunfire
Inerrancy,infallibility; inability to make mistakes [inerrant (a)]
Mince,"1. chop into small pieces; 2. walk with tiny steps, 3. speak in an affected manner"
Palpate,medical term meaning to examine with the hands
Platitude,"unoriginal, obvious saying"
Quibble,1. (v) to argue about minor matters; to play on words when finding fault; 2. (n) a minor verbal point in an argument
Apprehension,slight fear; sense of something unfavorable
Conniving,cunning; scheming [connive (v)]
Derision,mockery [deride (v)]
Epigram,"short, witty saying"
Lassitude,lack of energy; weariness
Pedantic,over-insistent on matters of book-learning [pedant (n)]
Phenomenology,branch of science concerned with things as they are perceived; not directly derived from theory
Renege,go back on promise or retract statement
Armada,fleet of ships
