word,meaning
Aesthetic,Concerning the appreciation of beauty
Ambiguous,Doubtful or uncertain; able to be interpreted in many ways
Analogous,Similar or alike in some way; equivalent to
Archaic,"Ancient, old fashioned"
Audacious,"Fearless or daring, bold"
Austere,"Severe or stern in appearance, undecorated"
Banal,"Predictable, cliched, boring"
Bombastic,pompous in speech and manner
Candid,Impartial and honest in speech
Capricious,Changing one's mind quickly and often
Cogent,convincing and well reasoned
Credulous,"Too trusting, gullible"
Desultory,"Jumping from one thing to another, disconnected"
Dilatory,Intended to delay
Disparate,Fundamentally different; entirely unlike
Dogmatic,Dictatorial in one's opinions
Eloquent,"Persuasive and moving, especially in speech"
Erratic,Wandering and unpredictable
Erudite,"Learned, scholarly, bookish"
Esoteric,Known or understood by only a few
Estimable,Admirable
Exigent,"Urgent, requiring immediate action"
Explicit,Clearly stated or shown; forthright in expression
Fanatical,Acting excessively enthusiastic; filled with extreme unquestioned devotion
Fervid,Intensely emotional; feverish
Florid,Excessively decorated or embellished
Garrulous,Tending to talk alot
Gregarious,"Outgoing, sociable"
Gullible,Easily Deceived
Homogeneous,Of a similar kind
Imperturbable,Not capable of being disturbed
Impetuous,Quick to act without thinking
Implacable,Unable to be calmed down or made peaceful
Inchoate,"Not fully formed, disorganized"
Inimical,"Hostile, unfriendly"
Innocuous,Harmless
Insipid,Lacking interest of flavor
Intransigent,"Uncompromising, refusing to be reconciled"
Irascible,Easily made angry
Laconic,Using few words
Lethargic,"Acting in an indifferent or slow, sluggish manner"
Loquacious,Talkative
Lucid,clear and easily understood
Luminous,"Bright, brilliant, glowing"
Malleable,capable of being shaped
Meticulous,Extremely careful about details
Naive,Lacking sophistication or experience
Obdurate,"hardened in feeling, resistant to persuasion"
Obsequious,overly submissive and eager to please
Onerous,"troublesome and oppressive,; burdensome"
Opaque,Impossible to see through; preventing the passage of light
Perfidious,willing to betray one's trust
Perfunctory,"done in a routine day, indifferent"
Pristine,fresh and clean; uncorrupted
Pungent,Sharp and irritating to the senses
Quiescent,motionless
Reticent,"silent, reserved"
Specious,deceptively attractive; seemingly plausible but fallacious
Stolid,"unemotional, lacking sensitivity"
Tacit,Done without using words
Taciturn,"Silent, not talkative"
Transitory,"temporary, lasting a brief time"
Verbose,wordy
Whimsical,acting in a fanciful or capricious manner; unpredictable
ambidextrous,able to use the left hand or the right equally well
gerontocracy,government ruled by old people
malevolent,malicious; evil; having or showing ill will
agile,active; quick-moving
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
suffocate,cause or have difficulty in breathing
heterogeneous,made up of different kinds
fragile,easily injured broken or destroyed
premature,doing or happening something before the right time
indigenous,native
apt,well-suited; quick-witted
offhand,Without preparation or forethought
impermeable,that cannot be permeated
reminiscent,suggest something in the past
extinct,no longer active
negligent,taking too little care
affable,polite and friendly
moribund,in a dying state; near death
asterisk,the mark * (e.g.. omitted letters)
livid,"Furiously angry, enraged"
vigorous,strong energetic
fragrant,sweet-smelling
judicious,sound in judgment; wise
hospitable,liking to give hospitality
sawdust,tiny bits of wood
steeply,rising or falling sharply
complaisant,trying to please; obliging
invincible,too strong to be defeated
cryptic,secret with a hidden meaning
sadistic,Cruel
dormant,in a state of inactivity but awaiting development
grievous,causing grief or pain; serious dire grave
renowned,celebrated; famous
mischievous,harmful; causing mischief
abysmal,extreme bad
erratic,irregular in behaviour or opinion
indistinct,not easily heard; seen clearly marked
abstruse,difficult to comprehend; obscure
colloquial,involving or using conversation.
gullible,easily gulled
vivacious,lively high-spirited
cumbersome,burdensome; heavy and awkward to carry
unscathed,unharmed unhurt
pivotal,of great importance (others depend on it)
buoyant,able to float; light-hearted
boisterous,noisy; restraint
treacherous,"not to be trusted, perfidious"
indulgent,inclined to indulge
evasive,tending to evade
bogus,sham; counterfeit; not genuine
incongruous,out of place; not in harmony or agreement
repulsive,causing a feeling of disgust
multifarious,varied; motley; greatly diversified
euthanasia,easy and painless death
underbid,make a lower bid then somebody else
cognizant,being fully aware of
irate,angry
frantic,wildly excited with joy; pain; anxiety
derogatory,insulting; tending to damage
valiant,brave
irrevocable,final and unalterable
soggy,heavy with water
voluptuous,arousing sensual pleasures
vindictive,having a desire to revenge
precursory,preliminary; anticipating
noxious,harmful
personable,pleasing in appearance attractive
holster,leather case for a pistol
aseptic,surgically clean
hapless,unlucky
distraught,distracted violently upset in mind
diabolical,having the qualities of a devil
lustrous,being bright; polished
vitriolic,corrosive; sarcastic
valorous,brave
illicit,unlawful; forbidden
apropos,by the way
haughty,arrogant; conceited
apprehensive,grasping understanding fear unhappy feeling about future
latent,present but not yet active; developed or visible
viscous,sticky/semi-fluid
inept,unskillful; said or done at the wrong time
calisthenics,exercises to develop strong bodies
regicide,crime of killing a king
prevalent,common
aloof,reserved; indifferent
indomitable,not easily discouraged or subdued
muffler,cloth worn round the neck; silencer
perilous,dangerous
dismal,sad; gloomy; miserable
enthral,"take the whole attention, enslave"
mendacious,lying; habitually dishonest
incredulous,skeptical; unwilling to believe
incessant,Constant
conciliatory,reconciling; soothing; comforting; mollifying
flaunting,show off complacently
immaculate,pure; faultless
prone,prostrate; inclined to (undesirable things)
astute,clever quick at seeing to get an advantage
coy,shy/modest (especially of a girl)
exorbitant,much too high or great
nonchalant,not having interest
grandiloquent,using pompous words
impassive,unmoved; feeling no sign of passion
boorish,crude; rude
arboreal,of connected with trees
oblivious,unaware; having no memory
ignoble,not noble; inferior
sagacious,having sound judgment; perceptive; wise like a sage
nebulous,cloud-like; hazy; vague; indistinct
laudatory,expressing or giving praise
ominous,threatening
pliant,easily bent
dubious,feeling doubt
ambrosial,extremely pleasing to taste
cantankerous,bad-tempered/quarrelsome
chaste,pure
insensible,unconscious; unresponsive; unaffected
morbid,diseased; unhealthy (e.g.. about ideas)
feral,Existing in a wild or untamed state
superfluous,more then is needed or wanted
mephitic,Poisonous; noxious
lackluster,(of eyes) dull
pious,dutiful to parents; devoted to religion
frenetic,frantic; frenzied
temperate,showing self-control
tawdry,cheap gaudy showy tacky
