derived_word,origin_w,chapter,deck,meaning,example,viewed,status
Allay,lessen,1,1,"Diminish or put at rest (fear, suspicion, or worry)",The report attempted to educate the public and allay fears.,0,0
Appease,lessen,1,1,Pacify or placate (someone) by acceding to their demands.,"The more we appease, the more we indulge, the more emboldened the enemies of freedom become.",0,0
Assuage,lessen,1,1,Make (an unpleasant feeling) less intense.,The government has tried to assuage the public's fears.,0,0
Curtail,lessen,1,1,Reduce in extent or quantity; impose a restriction on.,to curtail your holiday / spending,0,0
Degrade,lessen,1,1,Treat or regard (someone) with contempt or disrespect.,Pornography degrades women.,0,0
Deplete,lessen,1,1,Use up the supply or resources of.,"If we continue to deplete the earth's natural resources, we will cause serious damage to the environment.",0,0
Depreciate,lessen,1,1,Diminish in value over a period of time.,The latest cars will depreciate heavily in the first year.,0,0
Deteriorate,lessen,1,1,Become progressively worse.,She was taken into hospital last week when her condition suddenly deteriorated.,0,0
Dilute,lessen,1,1,Make (a liquid) thinner or weaker by adding water or another solvent to it.,Dilute the juice ( with water ) before you drink it.,0,0
Dwindle,lessen,1,1,"Diminish gradually in size, amount, or strength.",The community has dwindled to a tenth of its former size in the last two years.,0,0
Subside,lessen,1,1,"Become less intense, violent, or severe.",The police are hoping that the violence will soon subside.,0,0
Undersell,lessen,1,1,Sell something at a lower price than (a competitor),A big supermarket can usually undersell a small local store.,0,0
Impair,lessen,1,1,"Weaken or damage (something, especially a faculty or function)",A recurring knee injury may have impaired his chances of winning the tournament.,0,0
Minimize,lessen,1,1,"Reduce (something, especially something undesirable) to the smallest possible amount or degree.",We must minimize infection.,0,0
Mitigate,lessen,1,1,"Make (something bad) less severe, serious, or painful.",It is unclear how to mitigate of tourism on the island.,0,0
Mollify,lessen,1,1,Appease the anger or anxiety of (someone),I tried to mollify her by giving her flowers.,0,0
Recede,lessen,1,1,Go or move back or further away from a previous position.,My guess is that in the final moments of the season the supernatural elements of the show will recede.,0,0
Understate,lessen,1,1,Describe or represent (something) as being smaller or less good or important than it really is.,She believes the research understates the amount of discrimination women suffer.,0,0
Detrude,lessen,1,1,"to thrust or force down, out, or away","Lady Austen made him the most popular poet, and raised him to a rank in English poetry from which no one can detrude him.",0,0
Simplify,lessen,1,1,Make (something) simpler or easier to do or understand.,We have the new simplified tax system.,0,0
Emaciate,lessen,1,1,The state of being abnormally thin or weak.,"Her cheeks were pale and emaciate, and her forced smile only proclaimed more loudly the grief which was consuming her heart.",0,0
Dearth,lessen,1,1,A scarcity or lack of something.,a dearth of new homes in the region,0,0
Drought,lessen,1,1,"A prolonged period of abnormally low rainfall, leading to a shortage of water.",This year (a) severe drought has ruined the crops.,0,0
Scarcity,lessen,1,1,The state of being scarce or in short supply; shortage.,the scarcity of skilled workers,0,0
Pare,lessen,1,1,Trim (something) by cutting away its outer edges.,He was busy paring apples in the kitchen.,0,0
Plummet,lessen,1,1,Fall or drop straight down at high speed.,House prices have plummeted in recent months.,0,0
Frailty,lessen,1,1,The condition of being weak and delicate.,"Though ill for most of her life, physical frailty never stopped her from working.",0,0
Infirmity,lessen,1,1,Physical or mental weakness.,an advanced state of infirmity,0,0
Insufficiency,lessen,1,1,The condition of being insufficient.,Sometimes we blame all our problems on an insufficiency of money.,0,0
Wane,lessen,1,1,"(of the moon) have a progressively smaller part of its visible surface illuminated, so that it appears to decrease in size.",By the late 70s the band's popularity was beginning to wane.,0,0
Involve,suggest,1,1,Have or include (something) as a necessary or integral part or result.,Research involving the use of biological warfare agents will be used for defensive purposes.,0,0
Nominate,suggest,1,1,Propose or formally enter as a candidate for election or for an honour or award.,He's been nominated by the Green Party as their candidate in the next election.,0,0
